,label,det_id,start_region,overall_time,start_region_time,end_region_time,no_region_time,end_region
96,car,15,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
97,car,16,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
98,car,17,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
99,car,18,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
100,car,19,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
101,car,20,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
102,car,21,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
103,car,22,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
104,car,23,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
105,car,24,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
106,car,25,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
107,car,26,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
108,car,27,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
109,car,28,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
110,car,29,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
111,car,30,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
112,car,31,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
113,car,32,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
114,car,33,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
115,car,34,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
116,car,35,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
117,car,36,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
118,car,37,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
119,car,38,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
120,car,39,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
121,car,40,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
122,car,41,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
123,car,42,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
124,car,43,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
125,car,44,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
126,car,45,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
127,car,46,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
128,car,47,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
129,car,48,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
130,car,49,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
131,car,50,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
132,car,51,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
133,car,52,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
134,car,53,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
135,car,54,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
136,car,55,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
137,car,56,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
138,car,57,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
139,car,58,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
140,car,59,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
141,car,60,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
142,car,61,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
143,car,62,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
144,car,63,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
145,car,64,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
146,car,65,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
147,car,66,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
148,car,67,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
149,car,68,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
150,car,69,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
151,car,70,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
152,car,71,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
153,car,72,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
154,car,73,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
155,car,74,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
156,car,75,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
157,car,76,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
158,car,77,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
159,car,78,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
160,car,79,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
161,car,80,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
162,car,81,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
163,car,82,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
164,car,83,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
165,car,84,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
166,car,85,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
167,car,86,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
168,car,87,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
169,car,88,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
170,car,89,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
171,car,90,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
172,car,91,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
173,car,92,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
174,car,93,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
175,car,94,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
176,car,95,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
177,car,96,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
178,car,97,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
179,car,98,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
180,car,99,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
181,car,100,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
182,car,101,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
183,car,102,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
184,car,103,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
185,car,104,West_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,East_Park_Road
186,car,105,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
187,car,106,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
188,car,107,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
189,car,108,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
190,car,109,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
191,car,110,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
192,car,111,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
193,car,112,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
194,car,113,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
195,car,114,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
196,car,115,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
197,car,116,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
198,car,117,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
199,car,118,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
200,car,119,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
201,car,120,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
202,car,121,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
203,car,122,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
204,car,123,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
205,car,124,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
206,car,125,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
207,car,126,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
208,car,127,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
209,car,128,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
210,car,129,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
211,car,130,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
212,car,131,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
213,car,132,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
214,car,133,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
215,car,134,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
216,car,135,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
217,car,136,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
218,car,137,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
219,car,138,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
220,car,139,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
221,car,140,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
222,car,141,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
223,car,142,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
224,car,143,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
225,car,144,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
226,car,145,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
227,car,146,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
228,car,147,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
229,car,148,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
230,car,149,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
231,car,150,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
232,car,151,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
233,car,152,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
234,car,153,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
235,car,154,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
236,car,155,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
237,car,156,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
238,car,157,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
239,car,158,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
240,car,159,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
241,car,160,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
242,car,161,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
243,car,162,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
244,car,163,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
245,car,164,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
246,car,165,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
247,car,166,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
248,car,167,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
249,car,168,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
250,car,169,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
251,car,170,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
252,car,171,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
253,car,172,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
254,car,173,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
255,car,174,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
256,car,175,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
257,car,176,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
258,car,177,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
259,car,178,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
260,car,179,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
261,car,180,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
262,car,181,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
263,car,182,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
264,car,183,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
265,car,184,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
266,car,185,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
267,car,186,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
268,car,187,East_Park_Road,0 days 00:30:00,0 days,0 days,0 days 00:30:00,West_Park_Road
